,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,grand gaube,-20.0064,57.6608,21.22,66,16,8.81,MU,1626215489
1,faanui,-16.4833,-151.75,26.73,73,0,7.77,PF,1626215489
2,bluff,-46.6,168.3333,8.34,72,98,8.49,NZ,1626215499
3,codrington,-38.2667,141.9667,10.24,91,91,6.94,AU,1626215490
4,mataura,-46.1927,168.8643,4.32,76,66,2.05,NZ,1626215500
5,sitka,57.0531,-135.33,13.94,67,90,3.09,US,1626215979
6,suruc,36.9761,38.425,30.11,26,0,9.41,TR,1626215979
7,vila franca do campo,37.7167,-25.4333,21.23,83,72,3.3,PT,1626215491
8,kurumkan,54.3,110.3,19.54,65,100,4.25,RU,1626215980
9,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215505
10,upernavik,72.7868,-56.1549,4.79,97,100,2.52,GL,1626215492
11,nago,26.5881,127.9761,29.09,79,98,4.21,JP,1626215493
12,cape town,-33.9258,18.4232,9.51,79,20,3.09,ZA,1626215493
13,esperance,-33.8667,121.9,11.91,68,25,10.55,AU,1626215493
14,salinopolis,-0.6136,-47.3561,25.68,86,48,4.85,BR,1626215981
15,avarua,-21.2078,-159.775,27.03,69,40,4.12,CK,1626215512
16,tiznit,29.5833,-9.5,27.7,31,8,1.45,MA,1626215982
17,cabo san lucas,22.8909,-109.9124,31.95,58,75,2.57,MX,1626215446
18,kalmunai,7.4167,81.8167,26.92,75,99,3.0,LK,1626215495
19,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215428
20,homer,59.6425,-151.5483,17.27,86,75,3.09,US,1626215982
21,yumen,40.2833,97.2,17.64,77,97,5.0,CN,1626215496
22,puerto colombia,10.9878,-74.9547,31.05,81,23,8.49,CO,1626215983
23,lompoc,34.6391,-120.4579,32.23,69,1,8.23,US,1626215497
24,cabo san lucas,22.8909,-109.9124,31.95,58,75,2.57,MX,1626215446
25,saskylakh,71.9167,114.0833,7.93,56,75,7.91,RU,1626215571
26,westport,41.1415,-73.3579,22.96,91,90,4.02,US,1626215495
27,jamestown,42.097,-79.2353,21.77,93,90,0.89,US,1626215422
28,qaanaaq,77.484,-69.3632,5.45,73,100,4.26,GL,1626215623
29,nanyang,32.9947,112.5328,27.15,85,34,2.33,CN,1626215702
30,hobart,-42.8794,147.3294,8.48,93,75,1.54,AU,1626215458
31,coahuayana,18.7333,-103.6833,28.71,70,77,1.99,MX,1626215984
32,bluff,-46.6,168.3333,8.34,72,98,8.49,NZ,1626215499
33,vaini,-21.2,-175.2,26.09,89,75,3.6,TO,1626215549
34,busselton,-33.65,115.3333,8.91,74,45,7.72,AU,1626215500
35,kodiak,57.79,-152.4072,13.73,82,75,5.14,US,1626215500
36,mataura,-46.1927,168.8643,4.32,76,66,2.05,NZ,1626215490
37,mataura,-46.1927,168.8643,4.32,76,66,2.05,NZ,1626215500
38,bluff,-46.6,168.3333,8.34,72,98,8.49,NZ,1626215499
39,port elizabeth,-33.918,25.5701,9.16,76,40,6.69,ZA,1626215501
40,bengkulu,-3.8004,102.2655,25.03,62,100,1.48,ID,1626215501
41,kitale,1.0157,35.0062,12.89,97,99,0.07,KE,1626215502
42,ribeira grande,38.5167,-28.7,21.24,81,54,6.43,PT,1626215502
43,hilo,19.7297,-155.09,28.22,72,75,3.6,US,1626215502
44,klaksvik,62.2266,-6.589,10.51,91,100,5.56,FO,1626215502
45,conceicao da barra,-18.5933,-39.7322,22.4,83,0,3.27,BR,1626215503
46,geraldton,-28.7667,114.6,17.23,63,75,7.72,AU,1626215503
47,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215505
48,kavaratti,10.5669,72.642,28.35,79,100,10.24,IN,1626215986
49,mangaratiba,-22.9597,-44.0406,22.48,73,4,1.5,BR,1626215987
50,fuling,29.7022,107.3919,26.92,89,0,1.41,CN,1626215505
51,egvekinot,66.3167,-179.1667,15.68,60,76,1.91,RU,1626215987
52,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215505
53,ugoofaaru,5.6667,73.0,27.6,82,92,5.93,MV,1626215987
54,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215424
55,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215424
56,chuy,-33.6971,-53.4616,13.06,91,100,4.76,UY,1626215506
57,chapais,49.7834,-74.8492,25.88,62,84,5.0,CA,1626215988
58,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215492
59,port macquarie,-31.4333,152.9167,6.98,68,92,2.69,AU,1626215786
60,cayenne,4.9333,-52.3333,27.83,83,20,1.79,GF,1626215404
61,buala,-8.145,159.5921,28.86,73,41,5.4,SB,1626215989
62,vila franca do campo,37.7167,-25.4333,21.23,83,72,3.3,PT,1626215491
63,lavrentiya,65.5833,-171.0,9.0,84,89,3.0,RU,1626215565
64,jamestown,42.097,-79.2353,21.77,94,90,4.12,US,1626215383
65,busselton,-33.65,115.3333,8.91,74,45,7.72,AU,1626215500
66,bredasdorp,-34.5322,20.0403,6.62,81,34,1.54,ZA,1626215508
67,upernavik,72.7868,-56.1549,4.79,97,100,2.52,GL,1626215492
68,kapaa,22.0752,-159.319,29.18,74,90,1.34,US,1626215509
69,mar del plata,-38.0023,-57.5575,10.07,70,0,0.0,AR,1626215351
70,cape town,-33.9258,18.4232,9.51,79,20,3.09,ZA,1626215493
71,presidente medici,-11.1753,-61.9014,26.88,39,0,0.56,BR,1626215990
72,zhangye,38.9342,100.4517,23.76,40,97,1.44,CN,1626215949
73,puerto ayora,-0.7393,-90.3518,25.98,85,53,4.63,EC,1626215576
74,sheregesh,52.9209,87.9869,12.68,91,49,1.5,RU,1626215510
75,busselton,-33.65,115.3333,8.91,74,45,7.72,AU,1626215500
76,jamestown,42.097,-79.2353,21.77,93,90,0.89,US,1626215422
77,robertsport,6.7533,-11.3686,25.73,79,60,5.67,LR,1626215510
78,yellowknife,62.456,-114.3525,24.05,40,20,7.72,CA,1626215511
79,cape town,-33.9258,18.4232,9.51,79,20,3.09,ZA,1626215493
80,hit,33.6416,42.8251,35.5,20,0,8.97,IQ,1626215991
81,avarua,-21.2078,-159.775,27.03,69,40,4.12,CK,1626215512
82,mataura,-46.1927,168.8643,4.32,76,66,2.05,NZ,1626215500
83,lar,26.2039,83.9717,28.5,77,42,4.02,IN,1626215512
84,avarua,-21.2078,-159.775,27.03,69,40,4.12,CK,1626215494
85,murgab,37.4966,61.9714,28.93,28,0,3.09,TM,1626215992
86,atuona,-9.8,-139.0333,25.38,71,2,9.78,PF,1626215513
87,cerrito,6.8432,-72.694,14.66,90,100,3.23,CO,1626215992
88,cascais,38.6979,-9.4215,18.59,72,1,5.81,PT,1626215993
89,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215505
90,coihaique,-45.5752,-72.0662,5.34,87,90,2.06,CL,1626215514
91,hobart,-42.8794,147.3294,8.48,93,75,1.54,AU,1626215458
92,klaksvik,62.2266,-6.589,10.51,91,100,5.56,FO,1626215993
93,kruisfontein,-34.0033,24.7314,7.71,82,61,5.51,ZA,1626215581
94,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215505
95,saint george,37.1041,-113.5841,41.33,20,1,0.45,US,1626215226
96,piacabucu,-10.4056,-36.4344,22.93,87,7,3.05,BR,1626215994
97,micheweni,-4.9667,39.8333,24.26,81,10,5.47,TZ,1626215994
98,faanui,-16.4833,-151.75,26.73,73,0,7.77,PF,1626215516
99,barrow,71.2906,-156.7887,1.01,86,90,3.6,US,1626215516
100,lebu,-37.6167,-73.65,9.19,79,1,6.67,CL,1626215612
101,punta arenas,-53.15,-70.9167,-0.94,93,0,1.54,CL,1626215380
102,qaanaaq,77.484,-69.3632,5.45,73,100,4.26,GL,1626215623
103,jalu,29.0331,21.5482,29.25,38,0,5.64,LY,1626215517
104,vaini,-21.2,-175.2,26.09,89,75,3.6,TO,1626215499
105,busselton,-33.65,115.3333,8.91,74,45,7.72,AU,1626215500
106,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215428
107,paita,-5.0892,-81.1144,20.63,77,2,8.43,PE,1626215517
108,nzerekore,7.7562,-8.8179,20.35,99,30,1.76,GN,1626215518
109,carnarvon,-24.8667,113.6333,15.04,64,75,1.54,AU,1626215537
110,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215424
111,albany,42.6001,-73.9662,25.1,86,97,0.45,US,1626215249
112,biloela,-24.4167,150.5,17.27,76,57,2.96,AU,1626215996
113,bambous virieux,-20.3428,57.7575,21.14,60,40,3.6,MU,1626215519
114,port hardy,50.6996,-127.4199,20.1,60,20,6.17,CA,1626215520
115,jamestown,42.097,-79.2353,21.77,94,90,4.12,US,1626215383
116,mataura,-46.1927,168.8643,4.32,76,66,2.05,NZ,1626215490
117,castro,-24.7911,-50.0119,13.7,65,47,0.86,BR,1626215520
118,siderno,38.2779,16.302,29.33,49,6,3.92,IT,1626215520
119,gubkinskiy,64.434,76.5026,5.75,66,89,4.87,RU,1626215997
120,kodiak,57.79,-152.4072,13.73,82,75,5.14,US,1626215500
121,verkhoshizhemye,58.011,49.1038,14.1,65,36,1.53,RU,1626215998
122,birecik,37.0294,37.9903,29.56,27,0,9.69,TR,1626215998
123,norman wells,65.282,-126.8329,27.02,32,90,4.12,CA,1626215998
124,xinyu,27.8043,114.9334,28.01,73,54,2.7,CN,1626215998
125,ostrovnoy,68.0531,39.5131,9.78,85,78,1.15,RU,1626215616
126,hilo,19.7297,-155.09,28.22,72,75,3.6,US,1626215502
127,puerto ayora,-0.7393,-90.3518,25.98,85,53,4.63,EC,1626215576
128,hualmay,-11.0964,-77.6139,18.24,82,84,5.09,PE,1626215523
129,kaitangata,-46.2817,169.8464,4.96,70,72,2.64,NZ,1626215684
130,upernavik,72.7868,-56.1549,4.79,97,100,2.52,GL,1626215508
131,taveta,-3.3963,37.6736,19.14,84,81,1.94,KE,1626215999
132,severo-kurilsk,50.6789,156.125,13.84,91,99,4.03,RU,1626215524
133,trincomalee,8.5711,81.2335,26.96,79,100,8.65,LK,1626216000
134,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215492
135,iqaluit,63.7506,-68.5145,11.85,87,75,2.68,CA,1626215388
136,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215505
137,dikson,73.5069,80.5464,1.73,91,100,6.83,RU,1626215525
138,forio,40.7342,13.8646,26.9,77,52,4.47,IT,1626216000
139,cape town,-33.9258,18.4232,9.51,79,20,3.09,ZA,1626215493
140,hithadhoo,-0.6,73.0833,27.5,73,9,1.83,MV,1626215526
141,barrow,71.2906,-156.7887,1.01,86,90,3.6,US,1626215526
142,erzin,36.9559,36.2,26.4,86,1,0.75,TR,1626215527
143,caravelas,-17.7125,-39.2481,21.9,85,4,2.65,BR,1626215527
144,elat,29.5581,34.9482,31.91,43,0,4.12,IL,1626215527
145,cherskiy,68.75,161.3,5.96,78,100,1.5,RU,1626215528
146,punta arenas,-53.15,-70.9167,-0.94,93,0,1.54,CL,1626215380
147,guanare,9.0418,-69.7421,34.01,52,88,1.54,VE,1626216002
148,bluff,-46.6,168.3333,8.34,72,98,8.49,NZ,1626215499
149,paamiut,61.994,-49.6678,5.79,89,96,3.79,GL,1626215528
150,nikolskoye,59.7035,30.7861,21.94,92,100,0.23,RU,1626215570
151,pinar del rio,22.4175,-83.6981,30.95,55,25,1.99,CU,1626216003
152,marsabit,2.3284,37.9899,17.57,71,95,8.69,KE,1626215529
153,kodiak,57.79,-152.4072,13.73,82,75,5.14,US,1626215500
154,hermanus,-34.4187,19.2345,9.39,73,29,3.91,ZA,1626215530
155,cherskiy,68.75,161.3,5.96,78,100,1.5,RU,1626215528
156,port alfred,-33.5906,26.891,11.17,69,100,8.9,ZA,1626215530
157,chokurdakh,70.6333,147.9167,9.76,55,58,4.78,RU,1626215530
158,upernavik,72.7868,-56.1549,4.79,97,100,2.52,GL,1626215492
159,krasnyy chikoy,50.3643,108.7512,17.46,96,100,1.35,RU,1626215531
160,belyy yar,53.6039,91.3903,14.94,94,0,1.0,RU,1626216005
161,mataura,-46.1927,168.8643,4.32,76,66,2.05,NZ,1626215490
162,hofn,64.2539,-15.2082,11.6,81,85,6.6,IS,1626215532
163,hithadhoo,-0.6,73.0833,27.5,73,9,1.83,MV,1626215526
164,gamba,-2.65,10.0,21.36,89,30,2.88,GA,1626215588
165,mataura,-46.1927,168.8643,4.32,76,66,2.05,NZ,1626215500
166,namie,37.4833,141.0,25.95,91,99,3.03,JP,1626216006
167,honiara,-9.4333,159.95,29.39,70,25,3.94,SB,1626216006
168,sangar,63.9242,127.4739,19.6,54,11,1.7,RU,1626215593
169,berlevag,70.8578,29.0864,11.11,96,100,4.53,NO,1626215533
170,touros,-5.1989,-35.4608,25.5,79,28,5.73,BR,1626215534
171,pudozh,61.8099,36.5345,18.41,67,97,0.31,RU,1626215534
172,albany,42.6001,-73.9662,25.1,87,94,1.79,US,1626215444
173,college,64.8569,-147.8028,25.97,43,40,5.14,US,1626215411
174,nuuk,64.1835,-51.7216,11.34,62,75,3.09,GL,1626215535
175,havelock,34.8791,-76.9013,30.13,80,75,3.13,US,1626216007
176,codrington,-38.2667,141.9667,10.24,91,91,6.94,AU,1626215490
177,kapaa,22.0752,-159.319,29.18,74,90,1.34,US,1626215536
178,mathbaria,22.2876,89.9593,26.64,89,96,3.01,BD,1626215536
179,east london,-33.0153,27.9116,11.9,57,78,9.18,ZA,1626215614
180,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215424
181,prince rupert,54.3161,-130.3201,14.83,93,90,3.6,CA,1626216008
182,hofn,64.2539,-15.2082,11.6,81,85,6.6,IS,1626216008
183,carnarvon,-24.8667,113.6333,15.04,64,75,1.54,AU,1626215518
184,bredasdorp,-34.5322,20.0403,6.62,81,34,1.54,ZA,1626215508
185,ximei,24.9639,118.3794,27.85,87,84,0.64,CN,1626215538
186,broken hill,-31.95,141.4333,16.84,36,75,11.32,AU,1626216009
187,nnewi,6.0199,6.9148,22.6,95,100,1.82,NG,1626215538
188,aksay,47.26,39.87,24.03,37,0,3.58,RU,1626215539
189,salinas,36.6777,-121.6555,26.4,70,40,6.69,US,1626215206
190,lisakovsk,52.5369,62.4936,10.49,69,7,4.99,KZ,1626216010
191,hilo,19.7297,-155.09,28.22,72,75,3.6,US,1626215502
192,qaanaaq,77.484,-69.3632,5.45,73,100,4.26,GL,1626215498
193,adre,13.4667,22.2,25.02,62,100,3.62,TD,1626215539
194,bethel,41.3712,-73.414,22.06,91,90,0.45,US,1626215540
195,vytegra,61.0064,36.4481,18.53,69,100,0.76,RU,1626216010
196,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215424
197,avarua,-21.2078,-159.775,27.03,69,40,4.12,CK,1626215512
198,krasnoarmeysk,51.0239,45.6969,16.71,65,28,3.62,RU,1626215541
199,kapaa,22.0752,-159.319,29.18,74,90,1.34,US,1626215536
200,khatanga,71.9667,102.5,4.55,76,100,7.23,RU,1626215541
201,mataura,-46.1927,168.8643,4.32,76,66,2.05,NZ,1626215500
202,hithadhoo,-0.6,73.0833,27.5,73,9,1.83,MV,1626215526
203,husavik,66.0449,-17.3389,14.95,78,78,0.54,IS,1626215542
204,thompson,55.7435,-97.8558,23.09,35,40,3.09,CA,1626215409
205,hilo,19.7297,-155.09,28.22,72,75,3.6,US,1626215502
206,quatre cocos,-20.2078,57.7625,21.06,68,25,6.83,MU,1626216012
207,aquiraz,-3.9014,-38.3911,27.05,84,99,4.36,BR,1626216012
208,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215505
209,dubbo,-32.25,148.6167,9.07,81,75,1.03,AU,1626216013
210,mataura,-46.1927,168.8643,4.32,76,66,2.05,NZ,1626215500
211,visnes,59.3556,5.2242,19.76,90,100,7.48,NO,1626216013
212,gurupi,-11.7292,-49.0686,24.79,31,0,2.45,BR,1626215544
213,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215428
214,rangapara,26.8167,92.65,24.59,98,100,1.2,IN,1626215544
215,atambua,-9.1061,124.8925,21.78,81,70,2.23,ID,1626215545
216,yellowknife,62.456,-114.3525,24.05,40,20,7.72,CA,1626215545
217,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215492
218,dikson,73.5069,80.5464,1.73,91,100,6.83,RU,1626215525
219,hilo,19.7297,-155.09,28.22,72,75,3.6,US,1626215502
220,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215424
221,georgetown,5.4112,100.3354,25.5,91,20,0.89,MY,1626215601
222,barrow,71.2906,-156.7887,1.01,86,90,3.6,US,1626215516
223,igrim,63.1906,64.4162,5.81,68,4,1.61,RU,1626215546
224,bathsheba,13.2167,-59.5167,27.34,78,40,7.72,BB,1626216015
225,atuona,-9.8,-139.0333,25.38,71,2,9.78,PF,1626215547
226,airai,-8.9266,125.4092,14.49,77,87,1.47,TL,1626215547
227,hamilton,39.1834,-84.5333,27.52,84,75,0.45,US,1626215318
228,port alfred,-33.5906,26.891,11.17,69,100,8.9,ZA,1626215530
229,iqaluit,63.7506,-68.5145,11.85,87,75,2.68,CA,1626215388
230,carnarvon,-24.8667,113.6333,15.04,64,75,1.54,AU,1626215518
231,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215492
232,busselton,-33.65,115.3333,8.91,74,45,7.72,AU,1626215500
233,riyadh,24.6877,46.7219,34.08,15,79,1.31,SA,1626215835
234,isilkul,54.9109,71.2728,10.12,96,100,7.57,RU,1626215548
235,jamestown,42.097,-79.2353,21.77,94,90,4.12,US,1626215383
236,abu samrah,35.3029,37.1841,24.81,54,0,4.55,SY,1626216016
237,gashua,12.871,11.0482,30.6,47,12,6.29,NG,1626216016
238,grand gaube,-20.0064,57.6608,21.22,66,16,8.81,MU,1626215489
239,mar del plata,-38.0023,-57.5575,10.07,70,0,0.0,AR,1626215549
240,vaini,-21.2,-175.2,26.09,89,75,3.6,TO,1626215549
241,veseloyarsk,51.2836,81.1056,18.95,68,97,8.13,RU,1626216017
242,chuy,-33.6971,-53.4616,13.06,91,100,4.76,UY,1626215506
243,hobart,-42.8794,147.3294,8.48,93,75,1.54,AU,1626215458
244,bredasdorp,-34.5322,20.0403,6.62,81,34,1.54,ZA,1626215508
245,nanortalik,60.1432,-45.2371,6.84,83,35,0.86,GL,1626215550
246,punta arenas,-53.15,-70.9167,-0.94,93,0,1.54,CL,1626215380
247,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215492
248,kaitangata,-46.2817,169.8464,4.96,71,72,2.64,NZ,1626215523
249,bryan,30.6744,-96.37,32.82,59,40,3.6,US,1626215551
